request_id;img_width;img_height;total_client_time_ms;client_read_time_ms;client_serialize_time_ms;send_time_ms;client_exec_time_ms;client_deserialize_time_ms;sla_ms;pipeline_demanda;node_cpu_free_pct;node_mem_free_pct;node_health_score;k1_total_ms;k1_wasm_ms;k1_network_receive_ms;k1_network_send_ms;k2_total_ms;k2_wasm_ms;k2_network_receive_ms;k2_network_send_ms;k3_total_ms;k3_wasm_ms;k3_network_receive_ms;k3_network_send_ms;Environment;usage
140;224;224;53.004644;0.161;1.539;0.765;47.553;2.406;15;1|2|3;48.05;27.25;75.29;13.0;2.0;5.0;3.0;27.0;15.0;8.0;3.0;13.0;1.0;5.0;4.0;Cloud;50%
141;1024;1024;430.836504;2.286;31.577;23.444;299.978;68.84;15;1;9.38;9.97;19.35;322.0;59.0;139.0;121.0;;;;;;;;;Cloud;90%
142;1024;1024;700.419119;2.475;32.325;25.137;570.275;64.148;15;2;8.85;9.9;18.75;;;;;593.0;361.0;132.0;98.0;;;;;Cloud;90%
143;1024;1024;419.0598;2.539;31.7;25.359;286.135;67.394;15;3;8.85;9.9;18.75;;;;;;;;;310.0;55.0;145.0;109.0;Cloud;90%
144;1024;1024;957.678218;2.259;31.989;12.111;840.74;64.281;15;1|2;9.29;9.83;19.12;281.0;54.0;124.0;100.0;669.0;361.0;201.0;104.0;;;;;Cloud;90%
145;1024;1024;628.2925;2.301;31.728;19.231;502.379;66.505;15;1|3;9.22;9.84;19.06;274.0;46.0;127.0;98.0;;;;;344.0;49.0;202.0;91.0;Cloud;90%
146;1024;1024;967.956692;2.291;31.596;28.03;828.313;72.099;15;2|3;9.18;9.86;19.05;;;;;596.0;358.0;145.0;91.0;348.0;48.0;184.0;114.0;Cloud;90%
147;1024;1024;1248.9257730000002;2.273;31.85;13.494;1123.112;72.627;15;1|2|3;9.1;9.84;18.93;290.0;60.0;132.0;96.0;652.0;362.0;205.0;82.0;370.0;49.0;184.0;135.0;Cloud;90%
148;1920;1920;1434.904317;8.665;111.208;72.557;1044.969;180.737;15;1;9.2;9.73;18.93;1116.0;206.0;471.0;437.0;;;;;;;;;Cloud;90%
149;1920;1920;2412.225078;9.959;111.137;70.118;2044.214;158.141;15;2;8.86;9.72;18.58;;;;;2111.0;1278.0;476.0;355.0;;;;;Cloud;90%
150;1920;1920;1363.980993;9.004;113.503;77.015;973.183;172.537;15;3;9.38;9.65;19.03;;;;;;;;;1049.0;193.0;489.0;364.0;Cloud;90%
151;1920;1920;3244.420628;9.079;111.168;75.856;2871.574;157.518;15;1|2;8.64;9.53;18.17;982.0;195.0;455.0;330.0;2293.0;1267.0;696.0;328.0;;;;;Cloud;90%
152;1920;1920;2187.39421;9.106;110.887;59.378;1826.835;162.811;15;1|3;9.39;9.55;18.94;976.0;196.0;444.0;333.0;;;;;1242.0;181.0;725.0;333.0;Cloud;90%
153;1920;1920;3247.3806870000003;8.887;111.277;83.084;2843.429;182.087;15;2|3;8.81;9.59;18.4;;;;;1991.0;1230.0;478.0;281.0;1214.0;172.0;623.0;416.0;Cloud;90%
154;1920;1920;4073.1155519999998;9.895;110.307;70.649;3695.285;168.88;15;1|2|3;8.37;9.58;17.95;955.0;180.0;450.0;323.0;2235.0;1247.0;677.0;310.0;1201.0;181.0;644.0;374.0;Cloud;90%
155;3840;2160;2895.7877750000002;22.992;232.652;134.171;2128.16;340.837;15;1;8.87;9.54;18.41;2262.0;440.0;925.0;895.0;;;;;;;;;Cloud;90%
156;3840;2160;5119.841213;20.575;233.438;150.724;4374.297;300.305;15;2;7.2;9.31;16.51;;;;;4524.0;2823.0;957.0;742.0;;;;;Cloud;90%
157;3840;2160;2927.279224;22.63;233.281;131.337;2151.511;348.425;15;3;9.67;9.31;18.98;;;;;;;;;2281.0;414.0;938.0;927.0;Cloud;90%
158;3840;2160;6949.42204;22.693;231.669;162.375;6196.902;295.201;15;1|2;8.42;9.13;17.55;2104.0;418.0;980.0;703.0;4956.0;2784.0;1514.0;656.0;;;;;Cloud;90%
159;3840;2160;4734.621786;22.866;232.089;128.488;3960.554;348.084;15;1|3;8.44;9.12;17.57;2100.0;430.0;943.0;725.0;;;;;2712.0;393.0;1492.0;825.0;Cloud;90%
160;3840;2160;6990.704312;23.031;234.499;145.712;6151.727;395.135;15;2|3;7.84;9.13;16.96;;;;;4329.0;2765.0;956.0;605.0;2572.0;379.0;1321.0;869.0;Cloud;90%
161;3840;2160;8894.709045000001;22.814;234.437;145.681;8047.806;401.708;15;1|2|3;8.65;9.11;17.76;2074.0;425.0;949.0;697.0;4816.0;2761.0;1473.0;579.0;2574.0;384.0;1282.0;906.0;Cloud;90%
162;224;224;29.422358;0.172;1.572;0.812;17.755;2.082;15;1;8.65;9.11;17.76;17.0;2.0;6.0;7.0;;;;;;;;;Cloud;90%
163;224;224;35.189209;0.163;1.55;0.978;30.049;1.915;15;2;9.71;9.12;18.83;;;;;30.0;16.0;6.0;6.0;;;;;Cloud;90%
164;224;224;21.929154;0.167;1.61;0.736;16.662;2.192;15;3;9.36;9.12;18.47;;;;;;;;;16.0;2.0;6.0;6.0;Cloud;90%
165;224;224;50.164034;0.18;1.598;0.835;44.936;2.053;15;1|2;9.53;9.12;18.65;15.0;2.0;6.0;5.0;34.0;16.0;10.0;5.0;;;;;Cloud;90%
166;224;224;33.671147;0.186;1.602;0.911;28.234;2.06;15;1|3;9.27;9.09;18.36;16.0;2.0;6.0;6.0;;;;;17.0;2.0;7.0;6.0;Cloud;90%
167;224;224;53.972440000000006;0.17;1.636;0.736;48.133;2.423;15;2|3;9.92;9.09;19.01;;;;;33.0;18.0;9.0;5.0;18.0;2.0;7.0;8.0;Cloud;90%
168;224;224;71.665069;0.178;1.564;0.889;66.1;2.409;15;1|2|3;9.81;9.09;18.9;18.0;2.0;8.0;5.0;32.0;18.0;8.0;4.0;17.0;2.0;6.0;7.0;Cloud;90%
169;1024;1024;559.918199;12.041;32.198;166.538;334.539;12.306;15;1;86.94;56.33;143.26;489.0;22.0;266.0;197.0;;;;;;;;;Distributed;tbd
170;1024;1024;792.275512;3.929;38.238;197.349;528.035;21.04;15;3;69.73;52.12;121.84;;;;;;;;;714.0;29.0;293.0;390.0;Distributed;tbd
171;1024;1024;723.767794;1.313;11.168;110.686;587.431;11.116;15;1|2;78.35;51.71;130.07;284.0;11.0;130.0;142.0;;;;;;;;;Distributed;tbd
172;1024;1024;1004.1054469999999;4.596;38.749;226.114;720.016;12.501;15;1|3;63.71;51.59;115.29;577.0;21.0;330.0;221.0;;;;;494.0;17.0;256.0;219.0;Distributed;tbd
173;1024;1024;1128.279959;2.112;18.219;123.349;963.101;19.579;15;1|2|3;72.32;51.58;123.9;344.0;10.0;159.0;174.0;;;;;504.0;9.0;242.0;252.0;Distributed;tbd
174;1920;1920;825.116506;28.131;46.47;156.354;515.17;45.693;15;1;83.68;51.45;135.13;669.0;41.0;244.0;382.0;;;;;;;;;Distributed;tbd
175;1920;1920;1324.661285;17.093;115.073;413.186;725.007;43.011;15;3;79.9;45.65;125.55;;;;;;;;;1129.0;63.0;678.0;386.0;Distributed;tbd
176;1920;1920;1614.413927;5.844;42.529;154.642;1369.613;36.778;15;1|2;82.54;41.45;123.99;545.0;34.0;233.0;276.0;;;;;;;;;Distributed;tbd
177;1920;1920;1196.7131499999998;10.61;95.637;397.408;651.157;35.448;15;1|3;56.16;41.38;97.54;681.0;30.0;547.0;102.0;;;;;455.0;29.0;190.0;235.0;Distributed;tbd
178;1920;1920;2810.616382;13.339;104.18;439.943;2200.817;44.455;15;1|2|3;56.14;39.37;95.51;1270.0;59.0;640.0;568.0;;;;;670.0;26.0;299.0;343.0;Distributed;tbd
179;3840;2160;1536.684504;36.259;68.018;315.614;804.701;228.23;15;1;86.21;39.37;125.58;1117.0;68.0;441.0;605.0;;;;;;;;;Distributed;tbd
180;3840;2160;2744.979233;40.848;202.915;727.974;1568.303;190.618;15;3;47.97;23.05;71.02;;;;;;;;;2302.0;94.0;1024.0;1182.0;Distributed;tbd
181;3840;2160;3229.872937;11.331;73.211;328.602;2726.123;77.125;15;1|2;66.67;22.87;89.54;986.0;71.0;470.0;444.0;;;;;;;;;Distributed;tbd
182;3840;2160;1919.9123280000001;10.552;73.239;361.234;1379.372;86.854;15;1|3;62.34;22.91;85.25;893.0;72.0;510.0;309.0;;;;;1155.0;62.0;459.0;629.0;Distributed;tbd
183;3840;2160;4256.513184;34.215;191.633;543.245;3379.311;96.043;15;1|2|3;52.16;22.21;74.37;1221.0;72.0;689.0;458.0;;;;;1190.0;58.0;501.0;629.0;Distributed;tbd
184;224;224;43.762895;9.682;1.017;3.473;25.117;1.202;15;1;74.94;22.94;97.88;23.0;0.0;6.0;16.0;;;;;;;;;Distributed;tbd
185;224;224;307.17107300000004;0.312;1.62;11.679;287.626;1.38;15;3;79.05;23.07;102.13;;;;;;;;;283.0;0.0;111.0;170.0;Distributed;tbd
186;224;224;124.309613;0.104;0.562;4.369;118.101;0.531;15;1|2;85.01;23.07;108.08;56.0;0.0;5.0;50.0;;;;;;;;;Distributed;tbd
187;224;224;27.215401;0.106;0.808;3.584;21.0;0.741;15;1|3;75.79;23.07;98.85;11.0;0.0;5.0;5.0;;;;;14.0;0.0;1.0;12.0;Distributed;tbd
188;224;224;861.47094;0.281;1.286;7.454;850.421;0.689;15;1|2|3;70.27;23.05;93.32;324.0;0.0;13.0;308.0;;;;;497.0;0.0;267.0;228.0;Distributed;tbd
